1:1	Li jiitu tey Yàlla waxoon na ak maam ya ci wàll yu bare ak ci tëralin yu wuute jaarale ko ca yonent ya.
1:2	Waaye ci mujug jamono jii nu tollu, Yàlla wax na ak nun jaarale ko ci Doom ji. Doomam jooju la Yàlla jagleel lépp, te ci moom la Yàlla jaar, sàkk àddina.
1:3	Doom ji moo di leer giy jollee ci ndamu Yàlla, di ki dippeekoo ci Yàlla. Moo téye àddina ci kàddoom gu am doole gi. Te bi mu ubbee bunt ba nit di selle ci ay bàkkaaram, dafa toog fa ñu koy terale ca ndeyjooru Aji Màgg ji ca kaw,
1:4	wone noonu ne, moo gën a màgg malaaka yi. Te it Yàlla jox na ko tur wu sut seen tur.
1:5	Ndaxte Yàlla musul a wax kenn ci malaaka yi ne:«Yaa di sama Doom,maa di sa Baay tey.» Musul ne ci mbirum kenn ci ñoom it:«Man Yàlla, dinaa doon Baay ci moom,mu nekk Doom ci man.»
1:6	Waaye bi muy yónni Doom jooju di taaw bi ci àddina, da ne:«Na ko malaakay Yàlla yépp jaamu.»
1:7	Ci wàllu malaaka yi, lii la ci Yàlla wax:«Def na malaakaam yi, ñu mel ni ay ngelaw,ñooñu koy liggéeyal, mu def leen niki safara.»
1:8	Waaye ci wàllu Doom ji, lii la ko Yàlla wax:«Yaw Yàlla, dinga toog ci jal bi ba fàww,ci njubte ngay nguuru.
1:9	Sopp nga njub te bañ lu bon.Looloo tax yaw Yàlla,sa Yàlla sol la mbég mu gën a réymi mu jagleel say àndandoo.»
1:10	Newaat na it:«Yaw Boroom bi,yaa sàkk àddina ca njàlbéen ga,defar asamaan yi ci sa loxoy bopp.
1:11	Yëf yooyu dinañu wéy,waaye yaw dinga sax,dinañu màggat ñoom ñépp ni ay yére.
1:12	Dinga leen taxañ ni malaan,ñu furi ni ay yére,waaye yaw doo soppiku,te sa dund amul àpp.»
1:13	Waaye Yàlla musul a teral kenn ci malaaka yi, ba di ko wax:«Toogal ci sama ndeyjoor,ba kera may daaneel say noonci sa kanam.»
1:14	Malaaka yépp ay xel lañu rekk yuy liggéeyal Yàlla, mu di leen yónni ñuy dimbali nit, ñi nar a jot mucc gi.
2:1	Moo tax kon nu war a gën a faaydaal wax yi nu dégg, ngir bañ a bayliku.
2:2	Xam nanu ne kàddug yoon, wi Yàlla yégle jaarale ko ci malaaka yi, wareef la woon, te képp ku ko mas a moy, walla mu mas koo tanqamlu, jot na mbugal gi mu yelloo.
2:3	Kon nun ñi dégg mucc gu mag gi, bu nu ko sàgganee, nan lanuy man a rëcce mbugalu Yàlla? Boroom bi moo xamle woon mucc googu ca njàlbéen ga, te gannaaw gi, ñi ko dégg, ñoo nu ko wóoralal.
2:4	Te it Yàlla dëggal na seen seede ci ay firnde ak ay kéemaan, ay jaloore yu bare ak ci ay may yu jóge ci Xelam mu Sell, te mu séddale leen ni mu ko bëgge.
2:5	Yàlla jébbalul malaaka yi benn sañ-sañ bu jëm ci jamonoy ëllëg ji nuy wax; keneen la ko jébbal,
2:6	ndaxte am na fu ñu wax ci Mbind mi ne:«Lan mooy nit, yaw Yàlla, ba nga di ko xalaat?Lan mooy doomu nit, ba nga koy topptoo?
2:7	Wàcce nga ko, def komu gën a suufe tuuti malaaka yi.Kaalaa nga ko teraanga ak ndam,
2:8	nootal ko lépp, mu teg ci tànk.» Bi ko Yàlla nootalee lépp nag, bàyyiwul dara. Fi mu nekk gisagunu ne, lépp a ngi ci sañ-sañam;
2:9	Waaye gis nanu Yeesu. Wàcce nañu ko, def ko mu gën a suufe tuuti malaaka yi, ngir mu dee ci wàllu ñépp, ndaxte loolu la Yàlla dogal ci yiwam. Waaye léegi Yàlla kaalaa na ko teraanga ak ndam ndax coono bi mu daj ba dee.
2:10	Ndaxte Yàlla mi yelloo lépp te sàkk lépp, dogal na def ñu bare ay doomam, boole leen ci ndamam. Jekk na nag mu matal Yeesu ci coono bi mu daj, moom mi leen xàllal yoonu mucc gi.
2:11	Moom Yeesu miy sellal, ak ñi muy sellal, ñoom ñépp genn njaboot lañu. Moo tax Yeesu rusu leen a wooye ay doomi baayam.
2:12	Nee na:«Yaw Yàlla, dinaa xamle sa turci samay doomi baay,dinaa la tagg ci biir mbooloo mi.»
2:13	Newaat na:«Dinaa am ci Yàlla kóolute.» Dellu na waxaat ne:«Maa ngi nii, man ak doom yi ma Yàlla jox.»
2:14	Doomam yooyu muy wax, nit kese lañu. Looloo tax Yeesu it moom ci boppam, wàcc na, jëmmoo ni ñoom, ngir dee, ba man caa daaneel Ibliis, mi yore dooley dee.
2:15	Noonu mu yiwi nit, ñi meloon ni ay jaam seen giiru dund gépp ndax ragal a dee.
2:16	Leer na ne, Yeesu xettalisiwul malaaka yi, waaye askanu Ibraayma lay xettalisi.
2:17	Looloo taxoon mu war a mel niy doomi baayam ci bépp fànn, ngir doon seen saraxalekat bu mag fa kanam Yàlla, bi leen yërëm te di sàmm kóllëre, te ci liggéeyu saraxaleem joxe na bakkanam ngir dindi bàkkaari nit ñi, ba Yàlla baal leen.
