1:1	Yaw Teyofil mu tedd mi, xam nga ne, nit ñu bare sasoo nañoo bind ab nettali bu jëm ci mbir, yi xewoon ci sunu biir,
1:2	li dëppook waxi seede, yi ko teewe woon li dale ca ndoorte la te ñu mujj nekk jawriñi kàddug Yàlla.
1:3	Léegi nag kon man ci sama wàll, gëstu naa ci lépp li ko dale ca njàlbéen ga, te fas naa la ko yéenee bindal, nettali la ni xew-xew yooyu deme woon tembe.
1:4	Noonu dinga man a xam ne, li ñu la jàngaloon lu wér peŋŋ la.
1:5	Ca jamonoy Erodd, mi nekkoon buur ca réewu Yawut ya, amoon na saraxalekat bu ñu tudde Sakariya te bokk ca mbootaayu saraxalekat, ya askanoo ci Abiya. Jabaram Elisabet askanoo moom itam ci Aaroona.
1:6	Sakariya ak jabaram ñu jub lañu ca kanam Yàlla, di topp ni mu ware ndigal yi ak dogali Boroom bi yépp.
1:7	Waaye amuñu doom, ndaxte Elisabet mënul a am doom, te it fekk ñoom ñaar ñépp ay màggat lañu.
1:8	Benn bés nag Sakariya doon def liggéeyu saraxaleem ca Yàlla, ndaxte mbootaayam a aye keroog.
1:9	Bi ñuy tegoo bant, ni ko saraxalekat yi daan defe nakajekk, ngir xam kan mooy dugg ca bérab bu sell ba ca kër Yàlla ga, ngir taal fa cuuraay, bant ba tegu ci Sakariya.
1:10	Ca waxtu wa ñuy taal cuuraay la, mbooloo maa nga woon ca biti, di ñaan.
1:11	Noonu benn malaakam Boroom bi daldi feeñu Sakariya, taxaw ca féeteek ndeyjooru saraxalukaay, ba ñuy taal cuuraay ca kawam.
1:12	Naka la ko Sakariya gis, fitam daldi dem, mu tiit.
1:13	Waaye malaaka ma ne ko: «Bul ragal dara Sakariya, ndaxte sa ñaan nangu na. Elisabet sa jabar dina la jural doom, te dinga ko tudde Yaxya.
1:14	Sa mbég lay doon, sa xol sedd ci, te ñu bare dinañu bég ci juddoom,
1:15	ndaxte dina nekk ku màgg ca kanam Yàlla. Du naan biiñ walla dara luy màndil, te bu juddoo, Xel mu Sell mi daldi ko solu.
1:16	Dina delloosi niti Israyil yu bare ci Yàlla seen Boroom.
1:17	Mooy jiitu, di yégle ñëwu Boroom bi, ànd ak xel mi ak doole, ji yonent Yàlla Iliyas amoon, ngir jubale xoli baay yi ak doom yi, ngir delloo ñi déggadi ci maanduteg ñi jub. Noonu dina waajal mbooloo muy teeru Boroom bi.»
1:18	Sakariya daldi ne malaaka ma: «Nan laay xame ne, loolu dëgg la? Ndaxte mag laa, te sama jabar it màggat na.»
1:19	Malaaka ma tontu ko ne: «Man maay Jibril miy taxaw ci kanam Yàlla. Dañu maa yónni ngir ma wax ak yaw te yégal la xebaar bu baax boobu.
1:20	Léegi nag gannaaw gëmuloo li ma wax, dinga luu te dootuloo man a wax, ba kera sama wax di am, bu jamonoom jotee.»
1:21	Fekk na booba mbooloo maa ngi xaar, jaaxle lool ci li Sakariya yàgg ca bérab bu sell ba.
1:22	Waaye bi mu génnee nag, mënul a wax ak ñoom. Noonu nit ña xam ne, dafa am lu ko feeñu ca bérab bu sell ba. Dafa luu, ba di leen liyaar.
1:23	Bi Sakariya matalee liggéeyu saraxaleem ba noppi, mu daldi ñibbi.
1:24	Bi mbir yooyu weesoo, Elisabet jabaram ëmb, di ko nëbb lu mat juróomi weer
1:25	te naan: «Lii mooy yiw wi ma Boroom bi defal, ba fajal ma li doon sama gàcce ci nit ñi!»
1:26	Bi Elisabet nekkee ci juróom-benni weeram, Yàlla yónni na malaakaam Jibril ca dëkku Nasaret ca diiwaanu Galile.
1:27	Mu yebal ko ca janq bu ñu may waa ju bokk ci askanu Daawuda te ñu koy wax Yuusufa, waaye àndaguñu. Janq baa ngi tudd Maryaama.
1:28	Malaaka ma dikk ca moom ne ko: «Jàmm ngaam, yaw mi Boroom bi defal aw yiw; mu ngi ak yaw.»
1:29	Waxi malaaka ma daldi jaaxal Maryaama, muy xalaat lu nuyoo boobu man a tekki.
1:30	Malaaka ma ne ko: «Bul ragal dara Maryaama, ndaxte Yàlla tànn na la ci yiwam.
1:31	Dinga ëmb, jur doom ju góor; nanga ko tudde Yeesu.
1:32	Ku màgg lay nekki, te dinañu ko wooye Doomu Aji Kawe ji. Boroom bi Yàlla dina ko jébbal nguuru Daawuda maamam.
1:33	Noonu dina yilif askanu Yanqóoba ba fàww, te nguuram du am àpp.»
1:34	Maryaama laaj malaaka ma ne ko: «Naka la loolu man a ame? Man de, janq laa ba tey.»
1:35	Malaaka ma tontu ko ne: «Xel mu Sell mi dina wàcc ci yaw, te Aji Kawe ji dina la yiir ci kàttanam. Moo tax xale biy juddu dinañu ko wooye Ku sell ki, Doomu Yàlla ji.
1:36	Elisabet sa mbokk mi it dina am doom ju góor cig màggatam. Ki ñu doon wooye ku mënul a am doom, mu ngi ci juróom-benni weeram.
1:37	Ndaxte dara tëwul Yàlla.»
1:38	Maryaama ne ko: «Jaamub Boroom bi laa. Na Yàlla def ci man li nga wax.» Ci noonu malaaka ma daldi dem.
